Date,Open,High,Low,Close,Adj Close,Volume
2008-07-01,13480.019531,13613.009766,12904.089844,12961.679688,12961.679688,27600
2008-07-02,12948.049805,13711.009766,12822.750000,13664.620117,13664.620117,32000
2008-07-03,13458.299805,13458.299805,12934.919922,13094.110352,13094.110352,29200
2008-07-04,13097.009766,13508.379883,13031.429688,13454.000000,13454.000000,31400
2008-07-07,13561.919922,13793.389648,13476.290039,13525.990234,13525.990234,21200
2008-07-08,13226.040039,13451.669922,13049.959961,13349.650391,13349.650391,25400
2008-07-09,13581.410156,13998.480469,13581.410156,13964.259766,13964.259766,27600
2008-07-10,13851.589844,14046.589844,13763.940430,13926.240234,13926.240234,26400
2008-07-11,14063.450195,14063.450195,13351.339844,13469.849609,13469.849609,29000
2008-07-14,13333.030273,13557.209961,13270.400391,13330.509766,13330.509766,23600
2008-07-15,13067.080078,13067.080078,12607.620117,12676.190430,12676.190430,30000
2008-07-16,12759.759766,12935.250000,12514.990234,12575.799805,12575.799805,31200
2008-07-17,12909.570313,13150.349609,12843.790039,13111.849609,13111.849609,33600
2008-07-18,13234.530273,13684.269531,13093.339844,13635.400391,13635.400391,36600
2008-07-21,13782.129883,13878.879883,13581.190430,13850.040039,13850.040039,32400
2008-07-22,13837.639648,14206.129883,13798.179688,14104.200195,14104.200195,35600
2008-07-23,14568.219727,14979.900391,14568.219727,14942.280273,14942.280273,39000
2008-07-24,15082.370117,15130.089844,14608.049805,14777.009766,14777.009766,31200
2008-07-25,14451.950195,14484.389648,14210.629883,14274.940430,14274.940430,27800
2008-07-28,14267.030273,14421.610352,14219.379883,14349.110352,14349.110352,21800
2008-07-29,14085.530273,14153.120117,13727.139648,13791.540039,13791.540039,23600
2008-07-30,14007.320313,14322.669922,14002.190430,14287.209961,14287.209961,26000
2008-07-31,14359.480469,14369.419922,14161.759766,14355.750000,14355.750000,27800
2008-08-01,14064.259766,14682.330078,14032.870117,14656.690430,14656.690430,40200
2008-08-04,14594.639648,14725.940430,14503.509766,14577.870117,14577.870117,24800
