"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","29-Jun-2017","        520.60","        524.90","        536.60","        522.05","        533.65","        535.05","        531.14","    9651954","          5126511871.85","     125845","    3063480","         31.74"
"TATASTEEL","EQ","30-Jun-2017","        535.05","        534.45","        547.90","        530.05","        545.40","        545.75","        540.30","    8469286","          4575977852.20","     124465","    1909458","         22.55"
"TATASTEEL","EQ","03-Jul-2017","        545.75","        545.50","        553.35","        542.05","        550.75","        550.60","        549.84","    6447865","          3545298534.40","      86455","    2779766","         43.11"
"TATASTEEL","EQ","04-Jul-2017","        550.60","        551.10","        554.55","        544.40","        546.15","        547.55","        548.36","    5039815","          2763648424.65","      61877","    1668764","         33.11"
"TATASTEEL","EQ","05-Jul-2017","        547.55","        544.40","        552.50","        544.00","        550.30","        549.95","        549.58","    4725845","          2597229582.10","      60379","    1507593","         31.90"
"TATASTEEL","EQ","06-Jul-2017","        549.95","        550.00","        557.50","        549.00","        554.10","        554.65","        554.19","    6506592","          3605872724.60","      82627","    3317742","         50.99"
"TATASTEEL","EQ","07-Jul-2017","        554.65","        553.00","        554.90","        550.90","        552.30","        553.35","        552.52","    4100041","          2265356231.20","      76805","    1729494","         42.18"
"TATASTEEL","EQ","10-Jul-2017","        553.35","        558.90","        561.60","        549.10","        558.45","        559.35","        557.99","    1089492","           607925299.05","      13001","     403815","         37.06"
"TATASTEEL","EQ","11-Jul-2017","        559.35","        560.40","        561.95","        555.20","        556.25","        556.85","        558.22","    4912769","          2742411833.80","     100772","    2466319","         50.20"
"TATASTEEL","EQ","12-Jul-2017","        556.85","        560.00","        561.20","        555.00","        558.05","        559.10","        558.50","    4061003","          2268069481.55","      57089","    1906852","         46.96"
"TATASTEEL","EQ","13-Jul-2017","        559.10","        565.00","        566.00","        560.20","        563.70","        563.95","        563.45","    4252470","          2396034571.55","      73835","    1705574","         40.11"
"TATASTEEL","EQ","14-Jul-2017","        563.95","        564.90","        564.90","        556.75","        559.50","        558.40","        560.05","    4677703","          2619756415.95","      38318","    1989018","         42.52"
"TATASTEEL","EQ","17-Jul-2017","        558.40","        562.10","        563.75","        557.10","        559.60","        559.80","        561.06","    2460456","          1380455411.20","      48259","     824833","         33.52"
"TATASTEEL","EQ","18-Jul-2017","        559.80","        557.55","        569.00","        557.00","        562.50","        563.30","        564.22","    3442296","          1942212859.80","      38915","     725701","         21.08"
"TATASTEEL","EQ","19-Jul-2017","        563.30","        564.00","        572.35","        563.35","        572.00","        571.20","        568.59","    3285956","          1868349404.65","      52450","     892121","         27.15"
"TATASTEEL","EQ","20-Jul-2017","        571.20","        562.30","        563.75","        556.25","        557.35","        557.20","        559.26","    3260506","          1823456773.70","      44227","     818007","         25.09"
"TATASTEEL","EQ","21-Jul-2017","        557.20","        558.00","        558.05","        543.65","        552.20","        553.25","        551.62","    3295008","          1817604906.65","      50096","     958065","         29.08"
"TATASTEEL","EQ","24-Jul-2017","        553.25","        554.40","        554.40","        547.35","        547.70","        548.50","        550.55","    2160449","          1189430729.40","      33321","     600266","         27.78"
