Date,Open,High,Low,Close,Adj Close,Volume
2016-06-29,26627.150391,26776.169922,26606.310547,26740.390625,26740.390625,7700
2016-06-30,26926.169922,27069.230469,26872.589844,26999.720703,26999.720703,8600
2016-07-01,27064.330078,27243.359375,27061.400391,27144.910156,27144.910156,10000
2016-07-04,27314.439453,27385.660156,27251.060547,27278.759766,27278.759766,8300
2016-07-05,27340.720703,27348.660156,27127.300781,27166.869141,27166.869141,10400
2016-07-07,27209.970703,27288.220703,27146.949219,27201.490234,27201.490234,8800
2016-07-08,27292.199219,27294.820313,27034.140625,27126.900391,27126.900391,13900
2016-07-11,27358.230469,27647.480469,27358.230469,27626.689453,27626.689453,23900
2016-07-12,27667.810547,27828.740234,27667.810547,27808.140625,27808.140625,12200
2016-07-13,27912.140625,27928.759766,27752.140625,27815.179688,27815.179688,17600
2016-07-14,27857.800781,27967.769531,27763.150391,27942.109375,27942.109375,10500
2016-07-15,27966.140625,28048.699219,27735.869141,27836.500000,27836.500000,16300
2016-07-18,27920.660156,28013.500000,27697.689453,27746.660156,27746.660156,20500
2016-07-19,27790.050781,27826.689453,27637.980469,27787.619141,27787.619141,16800
2016-07-20,27775.699219,27935.179688,27759.710938,27915.890625,27915.890625,12500
2016-07-21,27980.070313,27988.759766,27687.539063,27710.519531,27710.519531,12200
2016-07-22,27721.720703,27832.449219,27646.210938,27803.240234,27803.240234,9500
2016-07-25,27753.960938,28110.369141,27736.509766,28095.339844,28095.339844,15300
2016-07-26,28121.369141,28149.529297,27927.130859,27976.519531,27976.519531,11100
2016-07-27,27976.140625,28210.880859,27899.929688,28024.330078,28024.330078,10400
2016-07-28,28108.779297,28240.199219,28064.900391,28208.619141,28208.619141,14600
2016-07-29,28232.869141,28233.470703,28037.869141,28051.859375,28051.859375,11500
2016-08-01,28083.080078,28284.849609,27873.529297,28003.119141,28003.119141,13700
2016-08-02,28069.119141,28175.220703,27943.910156,27981.710938,27981.710938,10100
2016-08-03,28008.519531,28015.429688,27647.140625,27697.509766,27697.509766,11800
2016-08-04,27899.880859,27921.910156,27627.970703,27714.369141,27714.369141,14600
2016-08-05,27810.550781,28110.369141,27795.740234,28078.349609,28078.349609,13700
2016-08-08,28181.919922,28226.380859,28128.060547,28182.570313,28182.570313,20300
2016-08-09,28289.220703,28289.960938,27956.769531,28085.160156,28085.160156,14200
2016-08-10,28133.359375,28143.279297,27736.619141,27774.880859,27774.880859,15400
2016-08-11,27805.939453,27902.390625,27697.330078,27859.599609,27859.599609,9900
2016-08-12,27919.949219,28203.269531,27900.910156,28152.400391,28152.400391,21000
2016-08-16,28190.039063,28199.099609,27942.650391,28064.609375,28064.609375,14600
2016-08-17,28061.789063,28174.300781,27960.140625,28005.369141,28005.369141,11600
2016-08-18,28077.640625,28214.169922,28077.000000,28123.439453,28123.439453,12500
2016-08-19,28167.660156,28212.300781,28026.119141,28077.000000,28077.000000,15600
2016-08-22,28088.070313,28143.279297,27918.050781,27985.539063,27985.539063,12600
2016-08-23,28012.560547,28028.980469,27854.429688,27990.210938,27990.210938,12400
2016-08-24,28065.250000,28108.390625,27959.869141,28059.939453,28059.939453,8100
2016-08-25,28103.599609,28154.210938,27803.240234,27835.910156,27835.910156,6700
2016-08-26,27882.750000,27935.880859,27696.990234,27782.250000,27782.250000,9100
2016-08-29,27827.259766,27952.849609,27698.710938,27902.660156,27902.660156,11800
2016-08-30,28012.460938,28478.019531,28010.660156,28343.009766,28343.009766,10600
2016-08-31,28372.250000,28532.250000,28363.099609,28452.169922,28452.169922,10400
2016-09-01,28459.089844,28548.849609,28386.609375,28423.480469,28423.480469,16800
2016-09-02,28498.720703,28581.580078,28427.630859,28532.109375,28532.109375,12000
2016-09-06,28631.269531,29013.400391,28631.269531,28978.019531,28978.019531,18200
2016-09-07,29035.669922,29067.839844,28911.310547,28926.359375,28926.359375,19800
2016-09-08,28929.460938,29077.279297,28854.560547,29045.279297,29045.279297,15000
2016-09-09,29062.900391,29062.900391,28755.080078,28797.250000,28797.250000,11700
2016-09-12,28481.089844,28481.109375,28251.310547,28353.539063,28353.539063,13700
2016-09-14,28345.490234,28416.410156,28259.380859,28372.230469,28372.230469,11500
2016-09-15,28398.330078,28454.019531,28311.109375,28412.890625,28412.890625,9600
2016-09-16,28520.300781,28778.640625,28494.589844,28599.029297,28599.029297,13400
2016-09-19,28626.599609,28714.769531,28552.550781,28634.500000,28634.500000,12600
2016-09-20,28690.660156,28698.810547,28480.529297,28523.199219,28523.199219,8000
2016-09-21,28554.380859,28689.359375,28462.330078,28507.419922,28507.419922,12300
2016-09-22,28766.939453,28871.919922,28693.070313,28773.130859,28773.130859,10700
2016-09-23,28810.320313,28825.089844,28627.380859,28668.220703,28668.220703,13300
2016-09-26,28630.919922,28630.919922,28272.029297,28294.279297,28294.279297,16600
2016-09-27,28373.019531,28432.740234,28179.339844,28223.699219,28223.699219,8800
2016-09-28,28198.880859,28378.560547,28198.300781,28292.810547,28292.810547,10800
2016-09-29,28423.140625,28475.570313,27719.919922,27827.529297,27827.529297,13600
2016-09-30,27807.820313,27955.210938,27716.779297,27865.960938,27865.960938,10500
2016-10-03,27997.289063,28273.019531,27919.890625,28243.289063,28243.289063,10900
2016-10-04,28377.640625,28404.699219,28242.250000,28334.550781,28334.550781,18300
2016-10-05,28425.740234,28477.650391,28188.900391,28220.980469,28220.980469,11300
2016-10-06,28298.349609,28328.560547,28031.220703,28106.210938,28106.210938,9100
2016-10-07,28129.220703,28155.679688,27964.910156,28061.140625,28061.140625,12700
2016-10-10,28144.279297,28216.640625,28068.320313,28082.339844,28082.339844,6900
2016-10-13,28042.619141,28042.619141,27563.839844,27643.109375,27643.109375,11900
2016-10-14,27712.220703,27763.539063,27548.179688,27673.599609,27673.599609,14000
2016-10-17,27776.140625,27803.210938,27488.300781,27529.970703,27529.970703,17100
2016-10-18,27656.890625,28064.390625,27652.759766,28050.880859,28050.880859,16200
2016-10-19,28112.359375,28131.070313,27926.169922,27984.369141,27984.369141,15200
2016-10-20,28031.570313,28212.500000,28031.570313,28129.839844,28129.839844,11300
2016-10-21,28163.410156,28163.410156,27957.919922,28077.179688,28077.179688,8500
2016-10-24,28156.589844,28256.650391,28075.949219,28179.080078,28179.080078,15100
2016-10-25,28159.089844,28211.410156,28013.689453,28091.419922,28091.419922,11000
2016-10-26,28050.550781,28050.550781,27759.560547,27836.509766,27836.509766,14100
2016-10-27,27808.630859,27958.130859,27665.599609,27915.900391,27915.900391,13600
2016-10-28,27983.140625,28000.140625,27789.839844,27941.509766,27941.509766,11300
2016-11-01,27966.179688,28029.800781,27845.630859,27876.609375,27876.609375,10100
2016-11-02,27679.320313,27679.320313,27500.810547,27527.220703,27527.220703,13000
