Date,Open,High,Low,Close,Adj Close,Volume
2017-06-28,null,null,null,null,null,null
2017-06-29,30910.970703,31097.919922,30794.609375,30857.519531,30857.519531,12300
2017-06-30,30824.970703,30965.449219,30680.660156,30921.609375,30921.609375,9200
2017-07-03,31156.039063,31258.330078,31017.109375,31221.619141,31221.619141,8100
2017-07-04,31331.210938,31353.460938,31166.369141,31209.789063,31209.789063,8700
2017-07-05,31272.720703,31284.640625,31177.779297,31245.560547,31245.560547,6500
2017-07-06,31298.419922,31460.699219,31264.859375,31369.339844,31369.339844,10100
2017-07-07,31373.519531,31426.289063,31286.619141,31360.630859,31360.630859,6200
2017-07-10,31510.619141,31768.390625,31471.410156,31715.640625,31715.640625,37900
2017-07-11,31789.500000,31885.109375,31718.480469,31747.089844,31747.089844,9100
2017-07-12,31813.240234,31865.689453,31731.429688,31804.820313,31804.820313,8300
2017-07-13,31896.230469,32091.519531,31892.630859,32037.380859,32037.380859,10500
2017-07-14,32099.929688,32109.750000,31897.869141,32020.750000,32020.750000,7200
2017-07-17,32053.980469,32131.919922,32037.210938,32074.779297,32074.779297,10300
2017-07-18,31775.539063,31911.609375,31626.439453,31710.990234,31710.990234,21600
2017-07-19,31882.800781,31978.890625,31793.720703,31955.349609,31955.349609,11300
2017-07-20,32033.820313,32057.119141,31859.500000,31904.400391,31904.400391,11200
2017-07-21,32035.880859,32062.230469,31808.929688,32028.890625,32028.890625,18000
2017-07-24,32100.220703,32320.859375,32058.330078,32245.869141,32245.869141,11500
2017-07-25,32350.710938,32374.300781,32196.859375,32228.269531,32228.269531,14100
2017-07-26,32255.990234,32413.630859,32226.080078,32382.460938,32382.460938,12400
2017-07-27,32519.439453,32672.660156,32325.330078,32383.300781,32383.300781,10900
2017-07-28,32381.359375,32381.359375,32104.660156,32309.880859,32309.880859,11300
2017-07-31,32412.199219,32546.500000,32324.449219,32514.939453,32514.939453,13100
2017-08-01,32579.800781,32632.019531,32462.250000,32575.169922,32575.169922,9000
2017-08-02,32641.580078,32686.480469,32394.890625,32476.740234,32476.740234,10500
2017-08-03,32502.550781,32502.550781,32194.580078,32237.880859,32237.880859,12600
2017-08-04,32191.119141,32352.189453,32107.990234,32325.410156,32325.410156,11300
2017-08-07,32377.800781,32396.140625,32235.820313,32273.669922,32273.669922,10400
2017-08-08,32341.050781,32354.769531,31915.199219,32014.189453,32014.189453,9400
2017-08-09,31926.140625,31967.279297,31731.910156,31797.839844,31797.839844,9300
2017-08-10,31750.730469,31756.269531,31422.800781,31531.330078,31531.330078,13000
2017-08-11,31355.919922,31379.199219,31128.019531,31213.589844,31213.589844,15200
2017-08-14,31299.519531,31526.400391,31298.900391,31449.029297,31449.029297,9700
2017-08-16,31566.240234,31805.990234,31399.349609,31770.890625,31770.890625,12500
2017-08-17,31919.169922,31937.509766,31714.099609,31795.460938,31795.460938,8500
2017-08-18,31729.880859,31729.880859,31349.130859,31524.679688,31524.679688,16400
2017-08-21,31609.929688,31641.810547,31220.529297,31258.849609,31258.849609,23600
2017-08-22,31393.929688,31484.279297,31241.500000,31291.849609,31291.849609,10800
2017-08-23,31407.470703,31593.390625,31379.250000,31568.009766,31568.009766,10000
2017-08-24,31673.439453,31678.189453,31546.050781,31596.060547,31596.060547,8900
2017-08-28,31756.869141,31809.699219,31701.669922,31750.820313,31750.820313,10100
2017-08-29,31724.839844,31739.800781,31360.810547,31388.390625,31388.390625,6800
2017-08-30,31534.570313,31727.980469,31533.019531,31646.460938,31646.460938,5400
2017-08-31,31685.439453,31757.179688,31551.849609,31730.490234,31730.490234,17900
2017-09-01,31769.339844,31944.099609,31707.269531,31892.230469,31892.230469,6600
2017-09-04,31932.199219,31932.199219,31560.320313,31702.250000,31702.250000,7600
